"","Nome","Instituição","UF","Contribuição","Tipo","url"
"1","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","AC",468,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"2","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","AL",428,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"3","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","AM",2081,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"4","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","AP",324,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"5","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","BA",1947,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"6","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","CE",716,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"7","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","DF",507,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"8","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","ES",643,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"9","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","GO",844,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"10","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","MA",857,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"11","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","MG",3108,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"12","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","MS",615,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"13","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","MT",747,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"14","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","PA",1490,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"15","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","PB",365,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"16","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","PE",617,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"17","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","PI",585,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"18","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","PR",1139,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"19","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","RJ",2518,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"20","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","RN",319,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"21","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","RO",318,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"22","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","RR",737,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"23","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","RS",790,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"24","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","SC",735,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"25","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","SE",445,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"26","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","SP",965,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
"27","Sistema de Informação de Solos Brasileiros","Embrapa Informática Agropecuária / Embrapa Solos","TO",116,"PEDOLÓGICO","https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html"
