"","observacao_id","coord_x","coord_y","sharing","mailto"
"1","Canoinhas nº06@ctb0586",-50.47854391,-26.21937968,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº06@ctb0586"">Relatar problema</a>"
"2","Canoinhas nº02@ctb0586",-50.49632184,-26.2235463,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº02@ctb0586"">Relatar problema</a>"
"3","Canoinhas nº01@ctb0586",-50.48882185,-26.2396575,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº01@ctb0586"">Relatar problema</a>"
"4","Canoinhas nº04@ctb0586",-50.4977108,-26.2366019,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº04@ctb0586"">Relatar problema</a>"
"5","Canoinhas nº07@ctb0586",-50.47104382,-26.21354635,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº07@ctb0586"">Relatar problema</a>"
"6","Canoinhas nº08@ctb0586",-50.46993265,-26.20049075,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº08@ctb0586"">Relatar problema</a>"
"7","Canoinhas nº03@ctb0586",-50.49159961,-26.23104635,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº03@ctb0586"">Relatar problema</a>"
"8","Canoinhas nº09@ctb0586",-50.47937717,-26.20104628,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº09@ctb0586"">Relatar problema</a>"
"9","Canoinhas nº05@ctb0586",-50.48604393,-26.21021296,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº05@ctb0586"">Relatar problema</a>"
"10","Canoinhas nº12@ctb0586",-50.45632153,-26.22632423,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº12@ctb0586"">Relatar problema</a>"
"11","Canoinhas nº10@ctb0586",-50.43882134,-26.21299091,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº10@ctb0586"">Relatar problema</a>"
"12","Canoinhas nº14@ctb0586",-50.45937706,-26.21354639,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº14@ctb0586"">Relatar problema</a>"
"13","Canoinhas nº15@ctb0586",-50.50326636,-26.22660185,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº15@ctb0586"">Relatar problema</a>"
"14","Canoinhas nº13@ctb0586",-50.44298811,-26.23104651,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº13@ctb0586"">Relatar problema</a>"
"15","Canoinhas nº16@ctb0586",-50.50048861,-26.2404908,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº16@ctb0586"">Relatar problema</a>"
"16","Canoinhas nº11@ctb0586",-50.44798811,-26.22076868,"<a href=""https://drive.google.com/open?id=0B7xsLbrOA23oXzlEOTdKWnNBVnc"">Acessar dados</a>","<a href=""mailto:fe-br@googlegroups.com?subject=Canoinhas nº11@ctb0586"">Relatar problema</a>"
